Drop-Vector Network.nodeRx.queue (#0 - General-0-20240511-20:09:03-87262),
40.4002,1
40.6002,1
40.8002,1
41.0002,1
41.2002,1
41.4002,1
41.6002,1
41.8002,1
42.0002,1
42.2002,1
42.4002,1
42.6002,1
42.8002,1
43.0002,1
43.2002,1
43.4002,1
43.6002,1
43.8002,1
44.0002,1
44.2002,1
44.4002,1
44.6002,1
44.8002,1
45.0002,1
45.2002,1
45.4002,1
45.6002,1
45.8002,1
46.0002,1
46.2002,1
46.4002,1
46.6002,1
46.8002,1
47.0002,1
47.2002,1
47.4002,1
47.6002,1
47.8002,1
48.0002,1
48.2002,1
48.4002,1
48.6002,1
48.8002,1
49.0002,1
49.2002,1
49.4002,1
49.6002,1
49.8002,1
50.0002,1
50.2002,1
50.4002,1
50.6002,1
50.8002,1
51.0002,1
51.2002,1
51.4002,1
51.6002,1
51.8002,1
52.0002,1
52.2002,1
52.4002,1
52.6002,1
52.8002,1
53.0002,1
53.2002,1
53.4002,1
53.6002,1
53.8002,1
54.0002,1
54.2002,1
54.4002,1
54.6002,1
54.8002,1
55.0002,1
55.2002,1
55.4002,1
55.6002,1
55.8002,1
56.0002,1
56.2002,1
56.4002,1
56.6002,1
56.8002,1
57.0002,1
57.2002,1
57.4002,1
57.6002,1
57.8002,1
58.0002,1
58.2002,1
58.4002,1
58.6002,1
58.8002,1
59.0002,1
59.2002,1
59.4002,1
59.6002,1
59.8002,1
60.0002,1
60.2002,1
60.4002,1
60.6002,1
60.8002,1
61.0002,1
61.2002,1
61.4002,1
61.6002,1
61.8002,1
62.0002,1
62.2002,1
62.4002,1
62.6002,1
62.8002,1
63.0002,1
63.2002,1
63.4002,1
63.6002,1
63.8002,1
64.0002,1
64.2002,1
64.4002,1
64.6002,1
64.8002,1
65.0002,1
65.2002,1
65.4002,1
65.6002,1
65.8002,1
66.0002,1
66.2002,1
66.4002,1
66.6002,1
66.8002,1
67.0002,1
67.2002,1
67.4002,1
67.6002,1
67.8002,1
68.0002,1
68.2002,1
68.4002,1
68.6002,1
68.8002,1
69.0002,1
69.2002,1
69.4002,1
69.6002,1
69.8002,1
70.0002,1
70.2002,1
70.4002,1
70.6002,1
70.8002,1
71.0002,1
71.2002,1
71.4002,1
71.6002,1
71.8002,1
72.0002,1
72.2002,1
72.4002,1
72.6002,1
72.8002,1
73.0002,1
73.2002,1
73.4002,1
73.6002,1
73.8002,1
74.0002,1
74.2002,1
74.4002,1
74.6002,1
74.8002,1
75.0002,1
75.2002,1
75.4002,1
75.6002,1
75.8002,1
76.0002,1
76.2002,1
76.4002,1
76.6002,1
76.8002,1
77.0002,1
77.2002,1
77.4002,1
77.6002,1
77.8002,1
78.0002,1
78.2002,1
78.4002,1
78.6002,1
78.8002,1
79.0002,1
79.2002,1
79.4002,1
79.6002,1
79.8002,1
80.0002,1
80.2002,1
80.4002,1
80.6002,1
80.8002,1
81.0002,1
81.2002,1
81.4002,1
81.6002,1
81.8002,1
82.0002,1
82.2002,1
82.4002,1
82.6002,1
82.8002,1
83.0002,1
83.2002,1
83.4002,1
83.6002,1
83.8002,1
84.0002,1
84.2002,1
84.4002,1
84.6002,1
84.8002,1
85.0002,1
85.2002,1
85.4002,1
85.6002,1
85.8002,1
86.0002,1
86.2002,1
86.4002,1
86.6002,1
86.8002,1
87.0002,1
87.2002,1
87.4002,1
87.6002,1
87.8002,1
88.0002,1
88.2002,1
88.4002,1
88.6002,1
88.8002,1
89.0002,1
89.2002,1
89.4002,1
89.6002,1
89.8002,1
90.0002,1
90.2002,1
90.4002,1
90.6002,1
