Size-Vector Network.queue (#0 - General-0-20240511-20:09:03-87262),
0.2001,1
0.2001,0
0.3001,1
0.3001,0
0.4001,1
0.4001,0
0.5001,1
0.5001,0
0.6001,1
0.6001,0
0.7001,1
0.7001,0
0.8001,1
0.8001,0
0.9001,1
0.9001,0
1.0001,1
1.0001,0
1.1001,1
1.1001,0
1.2001,1
1.2001,0
1.3001,1
1.3001,0
1.4001,1
1.4001,0
1.5001,1
1.5001,0
1.6001,1
1.6001,0
1.7001,1
1.7001,0
1.8001,1
1.8001,0
1.9001,1
1.9001,0
2.0001,1
2.0001,0
2.1001,1
2.1001,0
2.2001,1
2.2001,0
2.3001,1
2.3001,0
2.4001,1
2.4001,0
2.5001,1
2.5001,0
2.6001,1
2.6001,0
2.7001,1
2.7001,0
2.8001,1
2.8001,0
2.9001,1
2.9001,0
3.0001,1
3.0001,0
3.1001,1
3.1001,0
3.2001,1
3.2001,0
3.3001,1
3.3001,0
3.4001,1
3.4001,0
3.5001,1
3.5001,0
3.6001,1
3.6001,0
3.7001,1
3.7001,0
3.8001,1
3.8001,0
3.9001,1
3.9001,0
4.0001,1
4.0001,0
4.1001,1
4.1001,0
4.2001,1
4.2001,0
4.3001,1
4.3001,0
4.4001,1
4.4001,0
4.5001,1
4.5001,0
4.6001,1
4.6001,0
4.7001,1
4.7001,0
4.8001,1
4.8001,0
4.9001,1
4.9001,0
5.0001,1
5.0001,0
5.1001,1
5.1001,0
5.2001,1
5.2001,0
5.3001,1
5.3001,0
5.4001,1
5.4001,0
5.5001,1
5.5001,0
5.6001,1
5.6001,0
5.7001,1
5.7001,0
5.8001,1
5.8001,0
5.9001,1
5.9001,0
6.0001,1
6.0001,0
6.1001,1
6.1001,0
6.2001,1
6.2001,0
6.3001,1
6.3001,0
6.4001,1
6.4001,0
6.5001,1
6.5001,0
6.6001,1
6.6001,0
6.7001,1
6.7001,0
6.8001,1
6.8001,0
6.9001,1
6.9001,0
7.0001,1
7.0001,0
7.1001,1
7.1001,0
7.2001,1
7.2001,0
7.3001,1
7.3001,0
7.4001,1
7.4001,0
7.5001,1
7.5001,0
7.6001,1
7.6001,0
7.7001,1
7.7001,0
7.8001,1
7.8001,0
7.9001,1
7.9001,0
8.0001,1
8.0001,0
8.1001,1
8.1001,0
8.2001,1
8.2001,0
8.3001,1
8.3001,0
8.4001,1
8.4001,0
8.5001,1
8.5001,0
8.6001,1
8.6001,0
8.7001,1
8.7001,0
8.8001,1
8.8001,0
8.9001,1
8.9001,0
9.0001,1
9.0001,0
9.1001,1
9.1001,0
9.2001,1
9.2001,0
9.3001,1
9.3001,0
9.4001,1
9.4001,0
9.5001,1
9.5001,0
9.6001,1
9.6001,0
9.7001,1
9.7001,0
9.8001,1
9.8001,0
9.9001,1
9.9001,0
10.0001,1
10.0001,0
10.1001,1
10.1001,0
10.2001,1
10.2001,0
10.3001,1
10.3001,0
10.4001,1
10.4001,0
10.5001,1
10.5001,0
10.6001,1
10.6001,0
10.7001,1
10.7001,0
10.8001,1
10.8001,0
10.9001,1
10.9001,0
11.0001,1
11.0001,0
11.1001,1
11.1001,0
11.2001,1
11.2001,0
11.3001,1
11.3001,0
11.4001,1
11.4001,0
11.5001,1
11.5001,0
11.6001,1
11.6001,0
11.7001,1
11.7001,0
11.8001,1
11.8001,0
11.9001,1
11.9001,0
12.0001,1
12.0001,0
12.1001,1
12.1001,0
12.2001,1
12.2001,0
12.3001,1
12.3001,0
12.4001,1
12.4001,0
12.5001,1
12.5001,0
12.6001,1
12.6001,0
12.7001,1
12.7001,0
12.8001,1
12.8001,0
12.9001,1
12.9001,0
13.0001,1
13.0001,0
13.1001,1
13.1001,0
13.2001,1
13.2001,0
13.3001,1
13.3001,0
13.4001,1
13.4001,0
13.5001,1
13.5001,0
13.6001,1
13.6001,0
13.7001,1
13.7001,0
13.8001,1
13.8001,0
13.9001,1
13.9001,0
14.0001,1
14.0001,0
14.1001,1
14.1001,0
14.2001,1
14.2001,0
14.3001,1
14.3001,0
14.4001,1
14.4001,0
14.5001,1
14.5001,0
14.6001,1
14.6001,0
14.7001,1
14.7001,0
14.8001,1
14.8001,0
14.9001,1
14.9001,0
15.0001,1
15.0001,0
15.1001,1
15.1001,0
15.2001,1
15.2001,0
15.3001,1
15.3001,0
15.4001,1
15.4001,0
15.5001,1
15.5001,0
15.6001,1
15.6001,0
15.7001,1
15.7001,0
15.8001,1
15.8001,0
15.9001,1
15.9001,0
16.0001,1
16.0001,0
16.1001,1
16.1001,0
16.2001,1
16.2001,0
16.3001,1
16.3001,0
16.4001,1
16.4001,0
16.5001,1
16.5001,0
16.6001,1
16.6001,0
16.7001,1
16.7001,0
16.8001,1
16.8001,0
16.9001,1
16.9001,0
17.0001,1
17.0001,0
17.1001,1
17.1001,0
17.2001,1
17.2001,0
17.3001,1
17.3001,0
17.4001,1
17.4001,0
17.5001,1
17.5001,0
17.6001,1
17.6001,0
17.7001,1
17.7001,0
17.8001,1
17.8001,0
17.9001,1
17.9001,0
18.0001,1
18.0001,0
18.1001,1
18.1001,0
18.2001,1
18.2001,0
18.3001,1
18.3001,0
18.4001,1
18.4001,0
18.5001,1
18.5001,0
18.6001,1
18.6001,0
18.7001,1
18.7001,0
18.8001,1
18.8001,0
18.9001,1
