Size-Vector Network.nodeRx.queue (#0 - General-0-20240511-21:17:09-90529),
0.996074504566,1
0.996074504566,0
1.89463489305,1
1.89463489305,0
3.150565651097,1
3.150565651097,0
5.010169863172,1
5.010169863172,0
5.933392994643,1
5.933392994643,0
7.884938330527,1
7.884938330527,0
8.672139470509,1
8.672139470509,0
10.551103524712,1
10.551103524712,0
11.102152011382,1
11.102152011382,0
12.079158437775,1
12.079158437775,0
13.117317738439,1
13.117317738439,0
13.602445902161,1
13.602445902161,0
14.177965099044,1
14.177965099044,0
14.531124238182,1
14.531124238182,0
16.754648660218,1
16.754648660218,0
16.854648660218,1
16.954648660218,0
20.127945609239,1
20.127945609239,0
20.446301750081,1
20.446301750081,0
20.929903855029,1
20.929903855029,0
21.57935020328,1
21.57935020328,0
23.148246320903,1
23.148246320903,0
24.820457521228,1
24.820457521228,0
25.573131634541,1
25.573131634541,0
26.227014201762,1
26.227014201762,0
27.066447054662,1
27.066447054662,0
27.565319063678,1
27.565319063678,0
30.163573149527,1
30.163573149527,0
31.971942413802,1
31.971942413802,0
32.071942413802,1
32.171942413802,0
32.45720576551,1
32.45720576551,0
32.55720576551,1
32.65720576551,0
33.592979299942,1
33.592979299942,0
33.692979299942,1
33.792979299942,0
34.072653025596,1
34.072653025596,0
35.860140689035,1
35.860140689035,0
39.010310617711,1
39.010310617711,0
40.516094876348,1
40.516094876348,0
40.667325730013,1
40.716094876348,0
42.707639987955,1
42.707639987955,0
44.748532203867,1
44.748532203867,0
48.593754073009,1
48.593754073009,0
49.235463245687,1
49.235463245687,0
50.840702802749,1
50.840702802749,0
52.454704877642,1
52.454704877642,0
53.073634337269,1
53.073634337269,0
53.808598758459,1
53.808598758459,0
55.325134732449,1
55.325134732449,0
56.461073674159,1
56.461073674159,0
56.586948083597,1
56.661073674159,0
57.862175785821,1
57.862175785821,0
58.88360766017,1
58.88360766017,0
59.755928855212,1
59.755928855212,0
59.910658535712,1
59.955928855212,0
60.681493194179,1
60.681493194179,0
63.575913672166,1
63.575913672166,0
64.99727835226,1
64.99727835226,0
65.735105644016,1
65.735105644016,0
65.847051804649,1
65.935105644016,0
66.382617524877,1
66.382617524877,0
67.024312226908,1
67.024312226908,0
67.331592579061,1
67.331592579061,0
67.537795861091,1
67.537795861091,0
69.026050686843,1
69.026050686843,0
70.361340871467,1
70.361340871467,0
70.97042329465,1
70.97042329465,0
71.214471785387,1
71.214471785387,0
72.054806490999,1
72.054806490999,0
72.200084518291,1
72.254806490999,0
72.300084518291,1
72.454806490999,0
72.610823898169,1
72.654806490999,0
73.572204837235,1
73.572204837235,0
73.734341326681,1
73.772204837235,0
74.681338003856,1
74.681338003856,0
74.932779935931,1
74.932779935931,0
75.892327913299,1
75.892327913299,0
76.380884962607,1
76.380884962607,0
79.258799983885,1
79.258799983885,0
81.587713358099,1
81.587713358099,0
82.732852312799,1
82.732852312799,0
83.330598389617,1
83.330598389617,0
83.776116884668,1
83.776116884668,0
84.725611468165,1
84.725611468165,0
85.300143874906,1
85.300143874906,0
87.6264949366,1
87.6264949366,0
88.822602736057,1
88.822602736057,0
88.927163961832,1
89.022602736057,0
89.027163961832,1
89.222602736057,0
92.489492936753,1
92.489492936753,0
93.588405404304,1
93.588405404304,0
94.647239535792,1
94.647239535792,0
95.757836981479,1
95.757836981479,0
95.945263047497,1
95.957836981479,0
96.18146975358,1
96.18146975358,0
96.624873782201,1
96.624873782201,0
96.762902470629,1
96.824873782201,0
98.15194516042,1
98.15194516042,0
98.530907124703,1
98.530907124703,0
99.466968684474,1
99.466968684474,0
99.919070744699,1
99.919070744699,0
100.312183302003,1
100.312183302003,0
101.156611095531,1
101.156611095531,0
101.256611095531,1
101.356611095531,0
101.773118562751,1
101.773118562751,0
102.778989567918,1
102.778989567918,0
107.233486414094,1
107.233486414094,0
110.426433056148,1
110.426433056148,0
110.534068164304,1
110.626433056148,0
111.591894577656,1
111.591894577656,0
111.826196096432,1
111.826196096432,0
112.834215341852,1
112.834215341852,0
113.010128887278,1
113.034215341852,0
118.370229237521,1
118.370229237521,0
119.428971952615,1
119.428971952615,0
120.300887806241,1
120.300887806241,0
120.592968339508,1
120.592968339508,0
121.128033016591,1
121.128033016591,0
121.755974597582,1
121.755974597582,0
122.399755599185,1
122.399755599185,0
122.680032607664,1
122.680032607664,0
123.656896681735,1
123.656896681735,0
123.830024137881,1
123.856896681735,0
124.242525367803,1
124.242525367803,0
124.359480777595,1
124.442525367803,0
125.482649079128,1
125.482649079128,0
126.550721276278,1
126.550721276278,0
126.932277119652,1
126.932277119652,0
127.080989388904,1
127.132277119652,0
128.587624722177,1
128.587624722177,0
128.806505318684,1
128.806505318684,0
131.793695210536,1
131.793695210536,0
132.253709168276,1
132.253709168276,0
133.339978549154,1
133.339978549154,0
135.060310206871,1
135.060310206871,0
135.160310206871,1
135.260310206871,0
135.260310206871,1
135.460310206871,0
136.151221600983,1
136.151221600983,0
137.971040520267,1
137.971040520267,0
139.090854886021,1
139.090854886021,0
139.19188966133,1
139.290854886021,0
142.765478033674,1
142.765478033674,0
146.514509493258,1
146.514509493258,0
148.61983079405,1
148.61983079405,0
149.252167390446,1
149.252167390446,0
149.964750983779,1
149.964750983779,0
153.726678268283,1
153.726678268283,0
153.826678268283,1
153.926678268283,0
154.712483691608,1
154.712483691608,0
155.312430578249,1
155.312430578249,0
156.656675850401,1
156.656675850401,0
156.756675850401,1
156.856675850401,0
156.856675850401,1
157.056675850401,0
157.299720666472,1
157.299720666472,0
157.632130907436,1
157.632130907436,0
161.523701030281,1
161.523701030281,0
161.651757795592,1
161.723701030281,0
162.097177257512,1
162.097177257512,0
162.448353346893,1
162.448353346893,0
163.103999631257,1
163.103999631257,0
163.230388267682,1
163.303999631257,0
164.397261794231,1
164.397261794231,0
164.779962743093,1
164.779962743093,0
166.904199940095,1
166.904199940095,0
167.439084315852,1
167.439084315852,0
169.942996098937,1
169.942996098937,0
170.042996098937,1
170.142996098937,0
170.253688948501,1
170.342996098937,0
171.432878475566,1
171.432878475566,0
172.265721991632,1
172.265721991632,0
173.101819523602,1
173.101819523602,0
175.105060046109,1
175.105060046109,0
175.413474886207,1
175.413474886207,0
176.124722823424,1
176.124722823424,0
176.865481773871,1
176.865481773871,0
179.351064130848,1
179.351064130848,0
179.451064130848,1
179.551064130848,0
181.990018947225,1
181.990018947225,0
182.847914588299,1
182.847914588299,0
182.947914588299,1
183.047914588299,0
185.583940999315,1
185.583940999315,0
185.909281414844,1
185.909281414844,0
186.292841628943,1
186.292841628943,0
186.392841628943,1
186.492841628943,0
187.403088289698,1
187.403088289698,0
189.2504159407,1
189.2504159407,0
189.391746654261,1
189.4504159407,0
190.43352730844,1
190.43352730844,0
191.693461118549,1
191.693461118549,0
193.534743590036,1
193.534743590036,0
193.876397757062,1
193.876397757062,0
194.183915480824,1
194.183915480824,0
194.386265919391,1
194.386265919391,0
194.893466042648,1
194.893466042648,0
195.776595084607,1
195.776595084607,0
196.581392484408,1
196.581392484408,0
196.681392484408,1
196.781392484408,0
196.781957195189,1
196.981392484408,0
198.547698267602,1
198.547698267602,0
199.009429163646,1
199.009429163646,0
199.109429163646,1
199.209429163646,0
199.209429163646,1
199.409429163646,0
