Size-Vector Network.queue (#0 - General-0-20240511-21:17:09-90529),
0.895974504566,1
0.895974504566,0
1.79453489305,1
1.79453489305,0
3.050465651097,1
3.050465651097,0
4.910069863172,1
4.910069863172,0
5.833292994643,1
5.833292994643,0
7.784838330527,1
7.784838330527,0
8.572039470509,1
8.572039470509,0
10.451003524712,1
10.451003524712,0
11.002052011382,1
11.002052011382,0
11.979058437775,1
11.979058437775,0
13.017217738439,1
13.017217738439,0
13.502345902161,1
13.502345902161,0
14.077865099044,1
14.077865099044,0
14.431024238182,1
14.431024238182,0
16.654548660218,1
16.654548660218,0
16.754548660218,1
16.754548660218,0
20.027845609239,1
20.027845609239,0
20.346201750081,1
20.346201750081,0
20.829803855029,1
20.829803855029,0
21.47925020328,1
21.47925020328,0
23.048146320903,1
23.048146320903,0
24.720357521228,1
24.720357521228,0
25.473031634541,1
25.473031634541,0
26.126914201762,1
26.126914201762,0
26.966347054662,1
26.966347054662,0
27.465219063678,1
27.465219063678,0
30.063473149527,1
30.063473149527,0
31.871842413802,1
31.871842413802,0
31.971842413802,1
31.971842413802,0
32.35710576551,1
32.35710576551,0
32.45710576551,1
32.45710576551,0
33.492879299942,1
33.492879299942,0
33.592879299942,1
33.592879299942,0
33.972553025596,1
33.972553025596,0
35.760040689035,1
35.760040689035,0
38.910210617711,1
38.910210617711,0
40.415994876348,1
40.415994876348,0
40.567225730013,1
40.567225730013,0
42.607539987955,1
42.607539987955,0
44.648432203867,1
44.648432203867,0
48.493654073009,1
48.493654073009,0
49.135363245687,1
49.135363245687,0
50.740602802749,1
50.740602802749,0
52.354604877642,1
52.354604877642,0
52.973534337269,1
52.973534337269,0
53.708498758459,1
53.708498758459,0
55.225034732449,1
55.225034732449,0
56.360973674159,1
56.360973674159,0
56.486848083597,1
56.486848083597,0
57.762075785821,1
57.762075785821,0
58.78350766017,1
58.78350766017,0
59.655828855212,1
59.655828855212,0
59.810558535712,1
59.810558535712,0
60.581393194179,1
60.581393194179,0
63.475813672166,1
63.475813672166,0
64.89717835226,1
64.89717835226,0
65.635005644016,1
65.635005644016,0
65.746951804649,1
65.746951804649,0
66.282517524877,1
66.282517524877,0
66.924212226908,1
66.924212226908,0
67.231492579061,1
67.231492579061,0
67.437695861091,1
67.437695861091,0
68.925950686843,1
68.925950686843,0
70.261240871467,1
70.261240871467,0
70.87032329465,1
70.87032329465,0
71.114371785387,1
71.114371785387,0
71.954706490999,1
71.954706490999,0
72.099984518291,1
72.099984518291,0
72.199984518291,1
72.199984518291,0
72.510723898169,1
72.510723898169,0
73.472104837235,1
73.472104837235,0
73.634241326681,1
73.634241326681,0
74.581238003856,1
74.581238003856,0
74.832679935931,1
74.832679935931,0
75.792227913299,1
75.792227913299,0
76.280784962607,1
76.280784962607,0
79.158699983885,1
79.158699983885,0
81.487613358099,1
81.487613358099,0
82.632752312799,1
82.632752312799,0
83.230498389617,1
83.230498389617,0
83.676016884668,1
83.676016884668,0
84.625511468165,1
84.625511468165,0
85.200043874906,1
85.200043874906,0
87.5263949366,1
87.5263949366,0
88.722502736057,1
88.722502736057,0
88.827063961832,1
88.827063961832,0
88.927063961832,1
88.927063961832,0
92.389392936753,1
92.389392936753,0
93.488305404304,1
93.488305404304,0
94.547139535792,1
94.547139535792,0
95.657736981479,1
95.657736981479,0
95.845163047497,1
95.845163047497,0
96.08136975358,1
96.08136975358,0
96.524773782201,1
96.524773782201,0
96.662802470629,1
96.662802470629,0
98.05184516042,1
98.05184516042,0
98.430807124703,1
98.430807124703,0
99.366868684474,1
99.366868684474,0
99.818970744699,1
99.818970744699,0
100.212083302003,1
100.212083302003,0
101.056511095531,1
101.056511095531,0
101.156511095531,1
101.156511095531,0
101.673018562751,1
101.673018562751,0
102.678889567918,1
102.678889567918,0
107.133386414094,1
107.133386414094,0
