Drop-Vector Network.queue (#0 - General-0-20240515-14:04:56-118278),
42.881753423165,1
43.081753423165,1
43.281753423165,1
43.481753423165,1
43.681753423165,1
43.881753423165,1
44.081753423165,1
44.281753423165,1
44.481753423165,1
44.681753423165,1
44.881753423165,1
45.081753423165,1
45.281753423165,1
45.481753423165,1
45.681753423165,1
45.881753423165,1
46.081753423165,1
46.281753423165,1
46.481753423165,1
46.681753423165,1
46.881753423165,1
47.124122061063,1
47.324122061063,1
47.693711538692,1
47.900351525779,1
48.100351525779,1
48.300351525779,1
48.500351525779,1
48.700351525779,1
48.900351525779,1
49.100351525779,1
49.300351525779,1
49.500351525779,1
49.700351525779,1
49.900351525779,1
50.100351525779,1
50.300351525779,1
50.500351525779,1
50.700351525779,1
50.900351525779,1
51.100351525779,1
51.300351525779,1
51.500351525779,1
51.700351525779,1
51.900351525779,1
52.100351525779,1
52.300351525779,1
52.500351525779,1
52.700351525779,1
52.900351525779,1
53.100351525779,1
53.300351525779,1
53.500351525779,1
53.700351525779,1
53.900351525779,1
54.100351525779,1
54.300351525779,1
54.500351525779,1
54.700351525779,1
54.900351525779,1
55.100351525779,1
55.300351525779,1
55.500351525779,1
55.700351525779,1
55.900351525779,1
56.100351525779,1
56.300351525779,1
56.500351525779,1
56.700351525779,1
56.900351525779,1
57.100351525779,1
57.300351525779,1
57.500351525779,1
57.700351525779,1
57.900351525779,1
58.100351525779,1
58.300351525779,1
58.508510483143,1
58.708510483143,1
60.102278997619,1
60.302278997619,1
60.502278997619,1
60.702278997619,1
60.902278997619,1
61.102278997619,1
61.302278997619,1
61.502278997619,1
61.702278997619,1
61.902278997619,1
62.102278997619,1
62.525425847562,1
62.725425847562,1
62.925425847562,1
63.125425847562,1
63.325425847562,1
63.525425847562,1
63.725425847562,1
63.925425847562,1
64.125425847562,1
64.325425847562,1
64.525425847562,1
64.725425847562,1
64.925425847562,1
65.125425847562,1
65.325425847562,1
65.525425847562,1
65.725425847562,1
65.925425847562,1
66.125425847562,1
66.325425847562,1
66.525425847562,1
66.725425847562,1
66.925425847562,1
67.125425847562,1
67.325425847562,1
67.525425847562,1
67.725425847562,1
67.925425847562,1
68.125425847562,1
68.325425847562,1
68.525425847562,1
68.725425847562,1
68.925425847562,1
69.125425847562,1
69.325425847562,1
69.525425847562,1
69.725425847562,1
69.925425847562,1
70.125425847562,1
70.325425847562,1
70.525425847562,1
70.725425847562,1
70.925425847562,1
71.125425847562,1
71.325425847562,1
71.525425847562,1
71.725425847562,1
71.925425847562,1
72.125425847562,1
72.325425847562,1
72.525425847562,1
72.725425847562,1
72.925425847562,1
73.125425847562,1
73.325425847562,1
73.525425847562,1
73.725425847562,1
73.925425847562,1
74.125425847562,1
74.325425847562,1
74.525425847562,1
74.725425847562,1
74.925425847562,1
75.125425847562,1
75.325425847562,1
75.525425847562,1
75.725425847562,1
75.925425847562,1
76.125425847562,1
76.325425847562,1
76.525425847562,1
76.725425847562,1
76.925425847562,1
77.125425847562,1
77.325425847562,1
77.525425847562,1
77.725425847562,1
77.925425847562,1
78.125425847562,1
78.325425847562,1
78.525425847562,1
78.725425847562,1
78.925425847562,1
79.125425847562,1
79.325425847562,1
79.525425847562,1
79.725425847562,1
79.925425847562,1
80.125425847562,1
80.325425847562,1
80.525425847562,1
80.725425847562,1
80.925425847562,1
81.125425847562,1
81.325425847562,1
81.525425847562,1
81.725425847562,1
81.925425847562,1
82.125425847562,1
82.325425847562,1
82.525425847562,1
82.725425847562,1
82.925425847562,1
83.125425847562,1
83.325425847562,1
83.525425847562,1
83.725425847562,1
83.925425847562,1
84.125425847562,1
84.325425847562,1
84.525425847562,1
84.725425847562,1
84.925425847562,1
85.125425847562,1
85.325425847562,1
85.525425847562,1
85.725425847562,1
85.925425847562,1
86.125425847562,1
86.325425847562,1
86.525425847562,1
86.725425847562,1
86.925425847562,1
87.125425847562,1
87.325425847562,1
87.525425847562,1
87.725425847562,1
87.925425847562,1
88.125425847562,1
88.325425847562,1
88.525425847562,1
88.725425847562,1
88.925425847562,1
89.125425847562,1
89.325425847562,1
89.525425847562,1
89.725425847562,1
89.925425847562,1
90.125425847562,1
90.325425847562,1
90.525425847562,1
90.725425847562,1
90.925425847562,1
91.125425847562,1
91.325425847562,1
91.525425847562,1
91.725425847562,1
91.925425847562,1
92.125425847562,1
92.325425847562,1
92.525425847562,1
92.725425847562,1
92.925425847562,1
93.125425847562,1
93.325425847562,1
93.525425847562,1
93.725425847562,1
93.925425847562,1
94.125425847562,1
94.325425847562,1
94.525425847562,1
94.725425847562,1
94.925425847562,1
95.125425847562,1
95.325425847562,1
95.525425847562,1
95.725425847562,1
95.925425847562,1
96.125425847562,1
96.325425847562,1
96.525425847562,1
96.725425847562,1
96.925425847562,1
97.125425847562,1
97.325425847562,1
97.525425847562,1
97.725425847562,1
97.925425847562,1
98.125425847562,1
98.325425847562,1
98.525425847562,1
98.725425847562,1
98.925425847562,1
99.125425847562,1
99.325425847562,1
99.525425847562,1
99.725425847562,1
99.925425847562,1
100.125425847562,1
100.325425847562,1
100.525425847562,1
100.725425847562,1
100.925425847562,1
101.125425847562,1
101.325425847562,1
101.525425847562,1
101.725425847562,1
101.925425847562,1
102.125425847562,1
102.325425847562,1
102.525425847562,1
102.725425847562,1
102.925425847562,1
103.125425847562,1
103.325425847562,1
103.525425847562,1
103.725425847562,1
103.925425847562,1
104.125425847562,1
104.325425847562,1
104.525425847562,1
104.725425847562,1
104.925425847562,1
105.125425847562,1
105.325425847562,1
105.525425847562,1
105.725425847562,1
105.925425847562,1
106.125425847562,1
106.325425847562,1
106.525425847562,1
106.725425847562,1
106.925425847562,1
107.125425847562,1
107.325425847562,1
107.525425847562,1
107.725425847562,1
107.925425847562,1
108.125425847562,1
108.325425847562,1
108.525425847562,1
108.725425847562,1
108.925425847562,1
109.125425847562,1
109.325425847562,1
109.525425847562,1
109.725425847562,1
109.925425847562,1
110.125425847562,1
110.325425847562,1
110.525425847562,1
110.725425847562,1
110.925425847562,1
111.125425847562,1
111.325425847562,1
111.525425847562,1
111.725425847562,1
111.925425847562,1
112.125425847562,1
112.325425847562,1
112.525425847562,1
112.725425847562,1
112.925425847562,1
113.125425847562,1
113.325425847562,1
113.525425847562,1
113.725425847562,1
113.925425847562,1
114.125425847562,1
114.325425847562,1
114.525425847562,1
114.725425847562,1
114.925425847562,1
115.125425847562,1
115.325425847562,1
115.525425847562,1
115.725425847562,1
115.925425847562,1
116.125425847562,1
116.325425847562,1
116.525425847562,1
116.725425847562,1
116.925425847562,1
117.125425847562,1
117.325425847562,1
117.525425847562,1
117.725425847562,1
117.925425847562,1
118.125425847562,1
118.325425847562,1
118.525425847562,1
118.725425847562,1
118.925425847562,1
119.125425847562,1
119.325425847562,1
119.525425847562,1
119.725425847562,1
119.925425847562,1
120.125425847562,1
120.325425847562,1
120.525425847562,1
120.725425847562,1
120.925425847562,1
121.125425847562,1
121.325425847562,1
121.525425847562,1
121.725425847562,1
121.925425847562,1
122.125425847562,1
122.325425847562,1
122.525425847562,1
122.725425847562,1
122.925425847562,1
123.125425847562,1
123.325425847562,1
123.525425847562,1
123.725425847562,1
123.925425847562,1
124.125425847562,1
124.325425847562,1
124.525425847562,1
124.725425847562,1
124.925425847562,1
125.125425847562,1
125.325425847562,1
125.525425847562,1
125.725425847562,1
125.925425847562,1
126.125425847562,1
126.325425847562,1
126.525425847562,1
126.725425847562,1
126.925425847562,1
128.279912664167,1
128.479912664167,1
128.679912664167,1
128.879912664167,1
129.079912664167,1
129.279912664167,1
129.479912664167,1
129.679912664167,1
129.879912664167,1
130.079912664167,1
130.279912664167,1
130.479912664167,1
130.679912664167,1
130.879912664167,1
131.079912664167,1
131.318195054888,1
131.743459767573,1
131.943459767573,1
132.143459767573,1
132.343459767573,1
132.543459767573,1
132.74640130489,1
132.94640130489,1
133.14640130489,1
133.34640130489,1
133.54640130489,1
133.74640130489,1
133.94640130489,1
134.14640130489,1
134.34640130489,1
134.54640130489,1
134.74640130489,1
134.974681545182,1
135.174681545182,1
135.374681545182,1
135.574681545182,1
135.774681545182,1
135.974681545182,1
136.174681545182,1
136.374681545182,1
136.574681545182,1
136.774681545182,1
136.974681545182,1
137.174681545182,1
137.374681545182,1
137.574681545182,1
137.774681545182,1
137.974681545182,1
138.174681545182,1
138.374681545182,1
138.574681545182,1
138.774681545182,1
138.974681545182,1
139.174681545182,1
139.374681545182,1
139.574681545182,1
139.774681545182,1
139.974681545182,1
140.174681545182,1
140.374681545182,1
140.574681545182,1
140.774681545182,1
140.974681545182,1
141.174681545182,1
141.374681545182,1
141.574681545182,1
141.774681545182,1
141.974681545182,1
142.174681545182,1
142.374681545182,1
142.574681545182,1
142.774681545182,1
142.974681545182,1
143.174681545182,1
143.374681545182,1
143.574681545182,1
143.774681545182,1
143.974681545182,1
144.174681545182,1
144.374681545182,1
144.574681545182,1
144.774681545182,1
144.974681545182,1
145.174681545182,1
145.374681545182,1
145.574681545182,1
145.774681545182,1
145.974681545182,1
146.174681545182,1
146.374681545182,1
146.574681545182,1
146.774681545182,1
146.974681545182,1
147.174681545182,1
147.374681545182,1
147.574681545182,1
147.774681545182,1
147.974681545182,1
148.174681545182,1
148.374681545182,1
148.574681545182,1
148.774681545182,1
148.974681545182,1
149.174681545182,1
149.374681545182,1
149.574681545182,1
149.774681545182,1
149.974681545182,1
150.174681545182,1
150.374681545182,1
150.574681545182,1
150.774681545182,1
150.974681545182,1
151.174681545182,1
151.374681545182,1
151.574681545182,1
151.774681545182,1
151.974681545182,1
152.174681545182,1
152.374681545182,1
152.574681545182,1
152.774681545182,1
152.974681545182,1
153.174681545182,1
153.374681545182,1
153.574681545182,1
153.774681545182,1
153.974681545182,1
154.174681545182,1
154.374681545182,1
154.574681545182,1
154.774681545182,1
154.974681545182,1
155.174681545182,1
155.374681545182,1
155.574681545182,1
155.774681545182,1
155.974681545182,1
