Size-Vector Network.nodeRx.queue (#0 - General-0-20240515-14:08:50-118656),
0.698137252283,1
0.698137252283,0
1.147417446525,1
1.147417446525,0
1.775382825549,1
1.775382825549,0
2.705184931586,1
2.705184931586,0
3.166796497321,1
3.166796497321,0
4.142569165263,1
4.142569165263,0
4.536169735254,1
4.536169735254,0
5.475651762355,1
5.475651762355,0
5.75117600569,1
5.75117600569,0
6.239679218887,1
6.239679218887,0
6.758758869219,1
6.758758869219,0
7.00132295108,1
7.00132295108,0
7.289082549521,1
7.289082549521,0
7.489082549521,1
7.489082549521,0
8.577424330108,1
8.577424330108,0
8.777424330108,1
8.777424330108,0
10.264072804619,1
10.264072804619,0
10.464072804619,1
10.464072804619,0
10.665051927514,1
10.665051927514,0
10.989775101639,1
10.989775101639,0
11.774223160451,1
11.774223160451,0
12.610328760613,1
12.610328760613,0
12.986665817269,1
12.986665817269,0
13.31360710088,1
13.31360710088,0
13.73332352733,1
13.73332352733,0
13.982759531838,1
13.982759531838,0
15.281886574762,1
15.281886574762,0
16.186071206899,1
16.186071206899,0
16.386071206899,1
16.386071206899,0
16.586071206899,1
16.586071206899,0
16.786071206899,1
16.786071206899,0
16.996589649969,1
16.996589649969,0
17.196589649969,1
17.196589649969,0
17.396589649969,1
17.396589649969,0
18.130170344516,1
18.130170344516,0
19.705255308854,1
19.705255308854,0
20.458147438173,1
20.458147438173,0
20.658147438173,1
20.658147438173,0
21.553919993976,1
21.553919993976,0
22.574366101932,1
22.574366101932,0
24.496977036503,1
24.496977036503,0
24.817831622842,1
24.817831622842,0
25.620451401373,1
25.620451401373,0
26.427452438819,1
26.427452438819,0
26.736917168632,1
26.736917168632,0
27.104399379227,1
27.104399379227,0
27.862667366222,1
27.862667366222,0
28.430636837077,1
28.430636837077,0
28.630636837077,1
28.630636837077,0
29.131187892908,1
29.131187892908,0
29.641903830083,1
29.641903830083,0
30.078064427604,1
30.078064427604,0
30.278064427604,1
30.278064427604,0
30.540846597088,1
30.540846597088,0
31.988056836082,1
31.988056836082,0
32.698739176129,1
32.698739176129,0
33.067652822007,1
33.067652822007,0
33.267652822007,1
33.267652822007,0
33.467652822007,1
33.467652822007,0
33.712256113453,1
33.712256113453,0
33.912256113453,1
33.912256113453,0
34.112256113453,1
34.112256113453,0
34.71312534342,1
34.71312534342,0
35.380770435732,1
35.380770435732,0
35.685311647324,1
35.685311647324,0
35.885311647324,1
35.885311647324,0
36.227503245498,1
36.227503245498,0
36.427503245498,1
36.427503245498,0
36.627503245498,1
36.627503245498,0
36.827503245498,1
36.827503245498,0
37.027503245498,1
37.027503245498,0
37.227503245498,1
37.227503245498,0
37.540769001926,1
37.540769001926,0
37.740769001926,1
37.740769001926,0
38.146263956647,1
38.146263956647,0
38.390542481301,1
38.390542481301,0
39.82949999194,1
39.82949999194,0
40.993956679047,1
40.993956679047,0
41.566526156397,1
41.566526156397,0
41.865399194806,1
41.865399194806,0
42.088158442332,1
42.088158442332,0
42.56290573408,1
42.56290573408,0
42.850171937451,1
42.850171937451,0
44.013347468298,1
44.013347468298,0
44.611401368027,1
44.611401368027,0
44.811401368027,1
44.811401368027,0
45.011401368027,1
45.011401368027,0
46.444846468375,1
46.444846468375,0
46.99430270215,1
46.99430270215,0
47.523719767894,1
47.523719767894,0
48.079018490738,1
48.079018490738,0
48.279018490738,1
48.279018490738,0
48.479018490738,1
48.479018490738,0
48.679018490738,1
48.679018490738,0
48.879018490738,1
48.879018490738,0
49.276072580208,1
49.276072580208,0
49.476072580208,1
49.476072580208,0
49.933584342235,1
49.933584342235,0
50.159635372347,1
50.159635372347,0
50.359635372347,1
50.359635372347,0
50.778405547763,1
50.778405547763,0
50.978405547763,1
50.978405547763,0
51.178405547763,1
51.178405547763,0
51.589594783956,1
51.589594783956,0
53.816843207044,1
53.816843207044,0
55.413316528071,1
55.413316528071,0
55.613316528071,1
55.613316528071,0
55.996047288825,1
55.996047288825,0
56.196047288825,1
56.196047288825,0
56.617207670923,1
56.617207670923,0
56.817207670923,1
56.817207670923,0
59.385214618758,1
59.385214618758,0
59.914585976305,1
59.914585976305,0
60.350543903118,1
60.350543903118,0
60.550543903118,1
60.550543903118,0
60.764116508294,1
60.764116508294,0
61.07808729879,1
61.07808729879,0
61.399977799591,1
61.399977799591,0
61.599977799591,1
61.599977799591,0
62.028548340865,1
62.028548340865,0
62.228548340865,1
62.228548340865,0
62.428548340865,1
62.428548340865,0
62.628548340865,1
62.628548340865,0
62.941424539562,1
62.941424539562,0
63.475460638137,1
63.475460638137,0
63.675460638137,1
63.675460638137,0
63.875460638137,1
63.875460638137,0
64.493912361086,1
64.493912361086,0
64.693912361086,1
64.693912361086,0
66.096947605266,1
66.096947605266,0
66.326954584136,1
66.326954584136,0
66.870089274575,1
66.870089274575,0
67.730255103433,1
67.730255103433,0
67.930255103433,1
67.930255103433,0
68.130255103433,1
68.130255103433,0
68.330255103433,1
68.330255103433,0
69.18562026013,1
69.18562026013,0
69.745527443007,1
69.745527443007,0
