bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:33:41-4607),
0.079587450457,0
0.079587450457,1
0.079587450457,1
0.169443489305,0
0.169443489305,1
0.179587450457,1
0.279587450457,0
0.29503656511,0
0.29503656511,1
0.29503656511,1
0.39503656511,0
0.480996986317,0
0.480996986317,1
0.480996986317,1
0.573319299464,0
0.573319299464,1
0.580996986317,1
0.680996986317,0
0.768473833052,0
0.768473833052,1
0.768473833052,1
0.84719394705,0
0.84719394705,1
0.868473833052,1
0.968473833052,0
1.03509035247,0
1.03509035247,1
1.03509035247,1
1.090195201137,0
1.090195201137,1
1.13509035247,1
1.187895843776,0
1.187895843776,1
1.23509035247,1
1.291711773842,0
1.291711773842,1
1.33509035247,1
1.340224590214,0
1.340224590214,1
1.397776509902,1
1.397776509902,2
1.433092423816,2
1.433092423816,3
1.43509035247,3
1.53509035247,2
1.63509035247,1
1.65544486602,0
1.65544486602,1
1.661283332929,1
1.661283332929,2
1.73509035247,2
1.83509035247,1
1.93509035247,0
1.992774560922,0
1.992774560922,1
1.992774560922,1
2.024610175006,0
2.024610175006,1
2.072970385501,1
2.072970385501,2
2.092774560922,2
2.137915020326,1
2.137915020326,2
2.192774560922,2
2.292774560922,1
2.294804632088,0
2.294804632088,1
2.392774560922,1
2.46202575212,0
2.46202575212,1
2.492774560922,1
2.537293163451,0
2.537293163451,1
2.592774560922,1
2.602681420173,0
2.602681420173,1
2.686624705463,1
2.686624705463,2
2.692774560922,2
2.736511906365,1
2.736511906365,2
2.792774560922,2
2.892774560922,1
2.992774560922,0
2.99633731495,0
2.99633731495,1
2.99633731495,1
3.09633731495,0
3.177174241377,0
3.177174241377,1
3.177174241377,1
3.184542776924,0
3.184542776924,1
3.225700576548,1
3.225700576548,2
3.23481667916,2
3.23481667916,3
3.277174241377,3
3.339277929991,2
3.339277929991,3
3.341320488831,3
3.341320488831,4
3.377174241377,4
3.387245302557,3
3.387245302557,4
3.477174241377,4
3.565994068901,3
3.565994068901,4
3.577174241377,4
3.677174241377,3
3.777174241377,2
3.877174241377,1
3.881011061769,0
3.881011061769,1
3.977174241377,1
4.031589487633,0
4.031589487633,1
4.046712572999,1
4.046712572999,2
4.077174241377,2
4.177174241377,1
4.250743998793,0
4.250743998793,1
4.277174241377,1
4.377174241377,0
4.454833220384,0
4.454833220384,1
4.454833220384,1
4.554833220384,0
4.839355407298,0
4.839355407298,1
4.839355407298,1
4.903526324566,0
4.903526324566,1
4.939355407298,1
5.039355407298,0
5.064050280272,0
5.064050280272,1
5.064050280272,1
5.164050280272,0
5.225450487761,0
5.225450487761,1
5.225450487761,1
5.287343433724,0
5.287343433724,1
5.325450487761,1
5.360839875843,0
5.360839875843,1
5.425450487761,1
5.512493473242,0
5.512493473242,1
5.525450487761,1
5.625450487761,0
5.626087367413,0
5.626087367413,1
5.626087367413,1
5.638674808357,0
5.638674808357,1
5.726087367413,1
5.766197578579,0
5.766197578579,1
5.826087367413,1
5.868340766014,0
5.868340766014,1
5.926087367413,1
5.955572885518,0
5.955572885518,1
5.971045853568,1
5.971045853568,2
6.026087367413,2
6.048129319415,1
6.048129319415,2
6.126087367413,2
6.226087367413,1
6.326087367413,0
6.337571367214,0
6.337571367214,1
6.337571367214,1
6.437571367214,0
6.479707835223,0
6.479707835223,1
6.479707835223,1
6.553490564399,0
6.553490564399,1
6.564685180462,1
6.564685180462,2
6.579707835223,2
6.618241752485,1
6.618241752485,2
6.679707835223,2
6.682411222688,1
6.682411222688,2
6.713139257903,2
6.713139257903,3
6.733759586106,3
6.733759586106,4
6.779707835223,4
6.879707835223,3
6.882585068681,2
6.882585068681,3
6.979707835223,3
7.016114087143,2
7.016114087143,3
7.077022329461,3
7.077022329461,4
7.079707835223,4
7.101427178535,3
7.101427178535,4
7.179707835223,4
7.185460649096,3
7.185460649096,4
7.199988451825,4
7.199988451825,5
7.201885308745,5
7.201885308745,6
7.241062389813,6
7.241062389813,7
7.279707835223,7
7.33720048372,6
7.33720048372,7
7.353414132665,7
7.353414132665,8
7.379707835223,8
7.448113800382,7
7.448113800382,8
7.473257993589,8
7.473257993589,9
7.479707835223,9
7.569212791326,8
7.569212791326,9
7.579707835223,9
7.618068496257,8
7.618068496257,9
7.679707835223,9
7.779707835223,8
7.879707835223,7
7.905859998385,6
7.905859998385,7
7.979707835223,7
8.079707835223,6
8.138751335806,5
8.138751335806,6
8.179707835223,6
8.253265231276,5
8.253265231276,6
8.279707835223,6
8.313039838958,5
8.313039838958,6
8.357591688463,6
8.357591688463,7
8.379707835223,7
8.452541146813,6
8.452541146813,7
8.479707835223,7
8.509994387487,6
8.509994387487,7
8.579707835223,7
8.679707835223,6
8.742629493656,5
8.742629493656,6
8.779707835223,6
8.862240273602,5
8.862240273602,6
8.87269639618,6
8.87269639618,7
8.878907925227,7
8.878907925227,8
8.879707835223,8
8.979707835223,7
9.079707835223,6
9.179707835223,5
9.228929293672,4
9.228929293672,5
9.279707835223,5
9.338820540427,4
9.338820540427,5
9.379707835223,5
9.444703953576,4
9.444703953576,5
9.479707835223,5
9.555763698145,4
9.555763698145,5
9.574506304747,5
9.574506304747,6
9.579707835223,6
9.598126975355,5
9.598126975355,6
9.642467378217,6
9.642467378217,7
9.65627024706,7
9.65627024706,8
9.679707835223,8
9.779707835223,7
9.795174516039,6
9.795174516039,7
9.833070712467,7
9.833070712467,8
9.879707835223,8
9.926676868444,7
9.926676868444,8
9.971887074466,8
9.971887074466,9
9.979707835223,9
10.011198330196,8
10.011198330196,9
10.079707835223,9
10.095641109549,8
10.095641109549,9
10.09955942519,9
10.09955942519,10
10.157291856271,10
10.157291856271,11
10.179707835223,11
10.257878956788,10
10.257878956788,11
10.279707835223,11
10.379707835223,10
10.479707835223,9
10.579707835223,8
10.679707835223,7
10.703328641406,6
10.703328641406,7
10.779707835223,7
10.879707835223,6
10.979707835223,5
11.022623305611,4
11.022623305611,5
11.033386816427,5
11.033386816427,6
11.079707835223,6
11.139169457762,5
11.139169457762,6
11.16259960964,6
11.16259960964,7
11.179707835223,7
11.263401534182,6
11.263401534182,7
11.279707835223,7
11.280992888725,6
11.280992888725,7
11.379707835223,7
11.479707835223,6
11.579707835223,5
11.679707835223,4
11.779707835223,3
11.817002923749,2
11.817002923749,3
11.879707835223,3
11.922877195258,2
11.922877195258,3
11.979707835223,3
12.010068780621,2
12.010068780621,3
12.039276833948,3
12.039276833948,4
12.079707835223,4
12.092783301656,3
12.092783301656,4
12.155577459755,4
12.155577459755,5
12.179707835223,5
12.219955559915,4
12.219955559915,5
12.247983260763,5
12.247983260763,6
12.279707835223,6
12.34566966817,5
12.34566966817,6
12.362982413785,6
12.362982413785,7
12.379707835223,7
12.404232536777,6
12.404232536777,7
12.415928077756,7
12.415928077756,8
12.479707835223,8
12.528244907909,7
12.528244907909,8
12.579707835223,8
12.635052127624,7
12.635052127624,8
12.673207711961,8
12.673207711961,9
12.679707835223,9
12.688078938886,8
12.688078938886,9
12.779707835223,9
12.838742472213,8
12.838742472213,9
12.860630531864,9
12.860630531864,10
12.879707835223,10
12.979707835223,9
13.079707835223,8
13.159349521049,7
13.159349521049,8
13.179707835223,8
13.205350916823,7
13.205350916823,8
13.279707835223,8
13.313977854911,7
13.313977854911,8
13.379707835223,8
13.479707835223,7
13.486011020683,6
13.486011020683,7
13.487377478526,7
13.487377478526,8
13.497591966678,8
13.497591966678,9
13.579707835223,9
13.595102160094,8
13.595102160094,9
13.679707835223,9
13.777084052022,8
13.777084052022,9
13.779707835223,9
13.879707835223,8
13.889065488597,7
13.889065488597,8
13.899168966128,8
13.899168966128,9
13.979707835223,9
14.079707835223,8
14.179707835223,7
14.256527803362,6
14.256527803362,7
14.279707835223,7
14.379707835223,6
14.479707835223,5
14.579707835223,4
14.63143094932,3
14.63143094932,4
14.679707835223,4
14.779707835223,3
14.841963079399,2
14.841963079399,3
14.879707835223,3
14.905196739039,2
14.905196739039,3
14.976455098372,3
14.976455098372,4
14.979707835223,4
15.079707835223,3
15.179707835223,2
15.279707835223,1
15.352647826822,0
15.352647826822,1
15.358380519464,1
15.358380519464,2
15.379707835223,2
15.451228369154,1
15.451228369154,2
15.479707835223,2
15.511223057818,1
15.511223057818,2
15.579707835223,2
15.645647585033,1
15.645647585033,2
15.647666597848,2
15.647666597848,3
15.651664227754,3
15.651664227754,4
15.679707835223,4
15.709952066641,3
15.709952066641,4
15.743193090737,4
15.743193090737,5
15.779707835223,5
15.879707835223,4
15.979707835223,3
16.079707835223,2
16.132350103022,1
16.132350103022,2
16.145155779553,2
16.145155779553,3
16.179707835223,3
16.189697725745,2
