BufferSizeQueue Network.nodeRx.traRx (#0 - General-0-20240516-22:35:08-4722),
0.399168626141,1
0.623808723262,1
0.937791412774,1
1.402692465793,1
1.633498248661,1
2.121384582632,1
2.318184867627,1
2.787925881178,1
2.925688002846,1
3.169939609444,1
3.42947943461,1
3.55076147554,1
3.694641274761,1
3.794641274761,2
4.338812165054,1
4.438812165054,1
5.182136402309,1
5.282136402309,1
5.382625963756,1
5.544987550819,2
5.937211580225,1
6.355264380306,1
6.543432908634,1
6.706903550439,1
6.916761763664,1
7.041479765918,1
7.69104328738,1
8.143135603449,1
8.243135603449,1
8.343135603449,1
8.443135603449,2
8.548394824984,2
8.648394824984,3
8.748394824984,3
9.115185172258,3
9.902727654427,1
10.279173719086,1
10.379173719086,1
10.827059996987,1
11.337283050965,1
12.29858851825,1
12.45901581142,1
12.860325700685,1
13.263826219408,1
13.418558584315,1
13.602299689612,1
13.98143368311,1
14.265418418538,1
14.365418418538,1
14.615693946454,1
14.871051915041,1
15.089132213802,1
15.189132213802,1
15.320523298544,1
16.044128418041,1
16.399469588064,1
16.583926411003,1
16.683926411003,1
16.783926411003,2
16.906228056726,2
17.006228056726,2
17.106228056726,3
17.40666267171,2
17.740485217866,2
17.892755823662,2
17.992755823662,3
18.163851622749,3
18.263851622749,3
18.363851622749,4
18.463851622749,4
18.563851622749,5
18.663851622749,5
18.820484500962,5
18.920484500962,6
19.123231978323,6
19.24537124065,6
19.964849995969,4
20.547078339523,2
20.833363078198,1
20.982799597403,2
21.094179221166,2
21.33155286704,2
21.475185968725,2
22.056773734149,1
22.355800684013,1
22.455800684013,1
22.555800684013,1
23.272523234188,1
23.547251351076,1
23.811959883948,1
24.08960924537,1
24.18960924537,1
24.28960924537,1
24.38960924537,2
24.48960924537,2
24.688136290105,3
24.788136290105,3
25.016892171119,3
25.129917686175,3
25.229917686175,4
25.439302773883,4
25.539302773883,4
25.639302773883,5
25.84489739198,5
26.958521603524,1
27.756758264037,1
27.856758264037,1
28.048123644414,1
28.148123644414,2
28.358703835463,1
28.458703835463,2
29.74270730938,1
30.007392988154,1
30.22537195156,1
30.32537195156,1
30.432158254148,1
30.589143649396,2
30.750088899797,2
30.850088899797,2
31.064374170435,2
31.164374170435,3
31.264374170435,3
31.364374170435,4
31.520812269784,4
31.787830319071,4
31.887830319071,4
31.987830319071,5
32.297056180546,4
32.397056180546,5
33.098573802636,2
33.213577292071,3
33.485144637291,2
33.91522755172,1
34.01522755172,2
34.11522755172,2
34.21522755172,3
34.642910130069,1
34.922863721507,1
35.022863721507,2
35.84151950842,1
36.778777373316,1
37.305107698514,1
37.463191847613,1
37.641337745946,1
38.581819567072,1
38.681819567072,1
38.828270922903,1
38.978257644563,2
39.314318962601,1
39.414318962601,1
39.514318962601,2
39.614318962601,2
39.714318962601,3
40.531075257572,1
40.631075257572,1
40.731075257572,1
40.831075257572,2
40.931075257572,2
41.031075257572,3
41.249465448559,3
41.349465448559,3
41.876199985024,2
42.009921078963,2
42.635899024734,1
42.735899024734,1
42.835899024734,1
43.008369618891,2
43.216580497908,2
43.425604880901,2
43.926415011528,1
44.026415011528,1
44.181330705856,1
44.366520443468,1
44.987916032712,1
45.087916032712,1
45.647654736807,1
45.862128647076,1
45.962128647076,1
46.54613524983,1
46.64613524983,1
46.74613524983,1
46.84613524983,2
47.000922072426,2
47.462753985176,1
47.562753985176,1
47.758531827111,1
48.073515279638,1
48.53383589751,1
48.63383589751,1
48.73383589751,1
48.83383589751,2
48.93383589751,2
49.094298771154,3
49.295498121104,3
49.395498121104,3
49.495498121104,4
49.787074566902,3
49.902507290913,4
50.002507290913,4
50.102507290913,5
50.226427838087,5
50.437198596124,5
50.537198596124,5
50.820006174697,5
51.152195643135,4
51.252195643135,5
52.056068122123,2
52.198044160493,2
52.298044160493,3
52.622305505944,2
52.836903747901,2
52.962989699548,2
53.187137417244,2
53.753070811209,1
53.9653760141,1
54.220040696605,1
54.320040696605,1
54.838522419447,1
55.601592833668,1
55.886494824551,1
56.034650831414,1
56.183745679996,1
56.65211064996,1
57.612862295771,1
57.913421937583,1
58.013421937583,1
58.113421937583,1
58.396763272384,1
58.81699382352,1
58.949674447674,1
59.075929134613,1
59.357249638824,1
59.889624487841,1
59.989624487841,1
60.179111063441,1
60.279111063441,2
60.806753386539,1
61.647845999802,1
61.942691733213,1
62.164657085822,1
62.487634403022,1
62.757093124056,1
62.931042989281,1
