Size-Vector Network.queue0 (#0 - General-0-20240516-22:35:08-4722),
0.299068626141,1
0.299068626141,0
0.523708723262,1
0.523708723262,0
0.837691412774,1
0.837691412774,0
1.302592465793,1
1.302592465793,0
1.533398248661,1
1.533398248661,0
2.021284582632,1
2.021284582632,0
2.218084867627,1
2.218084867627,0
2.687825881178,1
2.687825881178,0
2.825588002846,1
2.825588002846,0
3.069839609444,1
3.069839609444,0
3.32937943461,1
3.32937943461,0
3.45066147554,1
3.45066147554,0
3.594541274761,1
3.594541274761,0
3.694541274761,1
3.694541274761,0
4.238712165054,1
4.238712165054,0
4.338712165054,1
4.338712165054,0
5.082036402309,1
5.082036402309,0
5.182036402309,1
5.182036402309,0
5.282525963756,1
5.282525963756,0
5.444887550819,1
5.444887550819,0
5.837111580225,1
5.837111580225,0
6.255164380306,1
6.255164380306,0
6.443332908634,1
6.443332908634,0
6.606803550439,1
6.606803550439,0
6.816661763664,1
6.816661763664,0
6.941379765918,1
6.941379765918,0
7.59094328738,1
7.59094328738,0
8.043035603449,1
8.043035603449,0
8.143035603449,1
8.143035603449,0
8.243035603449,1
8.243035603449,0
8.343035603449,1
8.343035603449,0
8.448294824984,1
8.448294824984,0
8.548294824984,1
8.548294824984,0
8.648294824984,1
8.648294824984,0
9.015085172258,1
9.015085172258,0
9.802627654427,1
9.802627654427,0
10.179073719086,1
10.179073719086,0
10.279073719086,1
10.279073719086,0
10.726959996987,1
10.726959996987,0
11.237183050965,1
11.237183050965,0
12.19848851825,1
12.19848851825,0
12.35891581142,1
12.35891581142,0
12.760225700685,1
12.760225700685,0
13.163726219408,1
13.163726219408,0
13.318458584315,1
13.318458584315,0
13.502199689612,1
13.502199689612,0
13.88133368311,1
13.88133368311,0
14.165318418538,1
14.165318418538,0
14.265318418538,1
14.265318418538,0
14.515593946454,1
14.515593946454,0
14.770951915041,1
14.770951915041,0
14.989032213802,1
14.989032213802,0
15.089032213802,1
15.089032213802,0
15.220423298544,1
15.220423298544,0
15.944028418041,1
15.944028418041,0
16.299369588064,1
16.299369588064,0
16.483826411003,1
16.483826411003,0
16.583826411003,1
16.583826411003,0
16.683826411003,1
16.683826411003,0
16.806128056726,1
16.806128056726,0
16.906128056726,1
16.906128056726,0
17.006128056726,1
17.006128056726,0
17.30656267171,1
17.30656267171,0
17.640385217866,1
17.640385217866,0
17.792655823662,1
17.792655823662,0
17.892655823662,1
17.892655823662,0
18.063751622749,1
18.063751622749,0
18.163751622749,1
18.163751622749,0
18.263751622749,1
18.263751622749,0
18.363751622749,1
18.363751622749,0
18.463751622749,1
18.463751622749,0
18.563751622749,1
18.563751622749,0
18.720384500962,1
18.720384500962,0
18.820384500962,1
18.820384500962,0
19.023131978323,1
19.023131978323,0
19.14527124065,1
19.14527124065,0
19.864749995969,1
19.864749995969,0
20.446978339523,1
20.446978339523,0
20.733263078198,1
20.733263078198,0
20.882699597403,1
20.882699597403,0
20.994079221166,1
20.994079221166,0
21.23145286704,1
21.23145286704,0
21.375085968725,1
21.375085968725,0
21.956673734149,1
21.956673734149,0
22.255700684013,1
22.255700684013,0
22.355700684013,1
22.355700684013,0
22.455700684013,1
22.455700684013,0
23.172423234188,1
23.172423234188,0
23.447151351076,1
23.447151351076,0
23.711859883948,1
23.711859883948,0
23.98950924537,1
23.98950924537,0
24.08950924537,1
24.08950924537,0
24.18950924537,1
24.18950924537,0
24.28950924537,1
24.28950924537,0
24.38950924537,1
24.38950924537,0
24.588036290105,1
24.588036290105,0
24.688036290105,1
24.688036290105,0
24.916792171119,1
24.916792171119,0
25.029817686175,1
25.029817686175,0
25.129817686175,1
25.129817686175,0
25.339202773883,1
25.339202773883,0
25.439202773883,1
25.439202773883,0
25.539202773883,1
25.539202773883,0
25.74479739198,1
25.74479739198,0
26.858421603524,1
26.858421603524,0
27.656658264037,1
27.656658264037,0
27.756658264037,1
27.756658264037,0
27.948023644414,1
27.948023644414,0
28.048023644414,1
28.048023644414,0
28.258603835463,1
28.258603835463,0
28.358603835463,1
28.358603835463,0
29.64260730938,1
29.64260730938,0
29.907292988154,1
29.907292988154,0
30.12527195156,1
30.12527195156,0
30.22527195156,1
30.22527195156,0
30.332058254148,1
30.332058254148,0
30.489043649396,1
30.489043649396,0
30.649988899797,1
30.649988899797,0
30.749988899797,1
30.749988899797,0
30.964274170435,1
30.964274170435,0
31.064274170435,1
31.064274170435,0
31.164274170435,1
31.164274170435,0
31.264274170435,1
31.264274170435,0
31.420712269784,1
31.420712269784,0
31.687730319071,1
31.687730319071,0
31.787730319071,1
31.787730319071,0
31.887730319071,1
31.887730319071,0
32.196956180546,1
32.196956180546,0
32.296956180546,1
32.296956180546,0
32.998473802636,1
32.998473802636,0
33.113477292071,1
33.113477292071,0
33.385044637291,1
33.385044637291,0
33.81512755172,1
33.81512755172,0
33.91512755172,1
33.91512755172,0
34.01512755172,1
34.01512755172,0
34.11512755172,1
34.11512755172,0
34.542810130069,1
34.542810130069,0
34.822763721507,1
34.822763721507,0
34.922763721507,1
34.922763721507,0
35.74141950842,1
35.74141950842,0
36.678677373316,1
36.678677373316,0
37.205007698514,1
37.205007698514,0
37.363091847613,1
37.363091847613,0
37.541237745946,1
37.541237745946,0
38.481719567072,1
38.481719567072,0
38.581719567072,1
38.581719567072,0
38.728170922903,1
38.728170922903,0
38.878157644563,1
38.878157644563,0
39.214218962601,1
39.214218962601,0
39.314218962601,1
39.314218962601,0
39.414218962601,1
39.414218962601,0
39.514218962601,1
39.514218962601,0
39.614218962601,1
39.614218962601,0
40.430975257572,1
40.430975257572,0
40.530975257572,1
40.530975257572,0
40.630975257572,1
40.630975257572,0
40.730975257572,1
40.730975257572,0
40.830975257572,1
40.830975257572,0
40.930975257572,1
40.930975257572,0
41.149365448559,1
41.149365448559,0
41.249365448559,1
41.249365448559,0
41.776099985024,1
41.776099985024,0
41.909821078963,1
41.909821078963,0
42.535799024734,1
42.535799024734,0
42.635799024734,1
42.635799024734,0
42.735799024734,1
42.735799024734,0
42.908269618891,1
42.908269618891,0
43.116480497908,1
43.116480497908,0
43.325504880901,1
43.325504880901,0
43.826315011528,1
43.826315011528,0
43.926315011528,1
43.926315011528,0
44.081230705856,1
44.081230705856,0
44.266420443468,1
44.266420443468,0
44.887816032712,1
44.887816032712,0
44.987816032712,1
44.987816032712,0
45.547554736807,1
45.547554736807,0
45.762028647076,1
45.762028647076,0
45.862028647076,1
45.862028647076,0
46.44603524983,1
46.44603524983,0
46.54603524983,1
46.54603524983,0
46.64603524983,1
46.64603524983,0
46.74603524983,1
46.74603524983,0
46.900822072426,1
46.900822072426,0
47.362653985176,1
47.362653985176,0
47.462653985176,1
47.462653985176,0
47.658431827111,1
47.658431827111,0
47.973415279638,1
47.973415279638,0
48.43373589751,1
48.43373589751,0
48.53373589751,1
48.53373589751,0
48.63373589751,1
48.63373589751,0
48.73373589751,1
48.73373589751,0
48.83373589751,1
48.83373589751,0
48.994198771154,1
48.994198771154,0
49.195398121104,1
49.195398121104,0
49.295398121104,1
49.295398121104,0
49.395398121104,1
49.395398121104,0
49.686974566902,1
49.686974566902,0
49.802407290913,1
49.802407290913,0
49.902407290913,1
49.902407290913,0
50.002407290913,1
50.002407290913,0
50.126327838087,1
50.126327838087,0
50.337098596124,1
50.337098596124,0
50.437098596124,1
50.437098596124,0
50.719906174697,1
50.719906174697,0
51.052095643135,1
51.052095643135,0
51.152095643135,1
51.152095643135,0
51.955968122123,1
51.955968122123,0
52.097944160493,1
52.097944160493,0
52.197944160493,1
52.197944160493,0
52.522205505944,1
52.522205505944,0
52.736803747901,1
52.736803747901,0
52.862889699548,1
52.862889699548,0
53.087037417244,1
53.087037417244,0
53.652970811209,1
53.652970811209,0
53.8652760141,1
53.8652760141,0
54.119940696605,1
54.119940696605,0
54.219940696605,1
54.219940696605,0
54.738422419447,1
54.738422419447,0
55.501492833668,1
55.501492833668,0
55.786394824551,1
55.786394824551,0
55.934550831414,1
55.934550831414,0
56.083645679996,1
56.083645679996,0
56.55201064996,1
56.55201064996,0
57.512762295771,1
57.512762295771,0
57.813321937583,1
57.813321937583,0
57.913321937583,1
57.913321937583,0
58.013321937583,1
58.013321937583,0
58.296663272384,1
58.296663272384,0
58.71689382352,1
58.71689382352,0
58.849574447674,1
58.849574447674,0
58.975829134613,1
58.975829134613,0
59.257149638824,1
59.257149638824,0
59.789524487841,1
59.789524487841,0
59.889524487841,1
59.889524487841,0
60.079011063441,1
60.079011063441,0
60.179011063441,1
60.179011063441,0
60.706653386539,1
60.706653386539,0
61.547745999802,1
61.547745999802,0
61.842591733213,1
61.842591733213,0
62.064557085822,1
62.064557085822,0
62.387534403022,1
62.387534403022,0
62.656993124056,1
62.656993124056,0
62.830942989281,1
62.830942989281,0
63.021409932105,1
63.021409932105,0
63.80277702152,1
63.80277702152,0
63.90277702152,1
63.90277702152,0
64.1264905846,1
64.1264905846,0
64.252068284165,1
64.252068284165,0
64.389917281699,1
64.389917281699,0
64.631030673072,1
64.631030673072,0
64.864131393174,1
64.864131393174,0
65.025157570255,1
65.025157570255,0
65.125157570255,1
65.125157570255,0
65.225157570255,1
65.225157570255,0
65.325157570255,1
65.325157570255,0
65.593277127783,1
65.593277127783,0
65.863107177447,1
65.863107177447,0
65.963107177447,1
65.963107177447,0
66.063107177447,1
66.063107177447,0
66.163107177447,1
66.163107177447,0
66.395175952358,1
66.395175952358,0
66.740920753992,1
66.740920753992,0
66.88091102151,1
66.88091102151,0
67.407772922748,1
67.407772922748,0
67.507772922748,1
67.507772922748,0
67.607772922748,1
67.607772922748,0
67.707772922748,1
67.707772922748,0
67.807772922748,1
67.807772922748,0
67.907772922748,1
67.907772922748,0
68.007772922748,1
68.007772922748,0
68.127751304856,1
68.127751304856,0
68.328389301296,1
68.328389301296,0
68.541909235207,1
68.541909235207,0
68.641909235207,1
68.641909235207,0
68.815212436142,1
68.815212436142,0
69.683346305963,1
69.683346305963,0
69.947308708128,1
69.947308708128,0
70.047308708128,1
70.047308708128,0
70.185243856445,1
70.185243856445,0
70.285243856445,1
70.285243856445,0
70.814922728362,1
70.814922728362,0
70.914922728362,1
70.914922728362,0
71.014922728362,1
71.014922728362,0
71.114922728362,1
71.114922728362,0
71.214922728362,1
71.214922728362,0
72.170687337364,1
72.170687337364,0
72.72691600167,1
72.72691600167,0
72.82691600167,1
72.82691600167,0
73.212531874458,1
73.212531874458,0
73.405051089345,1
73.405051089345,0
73.709305963179,1
73.709305963179,0
73.85782433776,1
73.85782433776,0
73.95782433776,1
73.95782433776,0
74.05782433776,1
74.05782433776,0
74.540268490088,1
74.540268490088,0
74.648854904074,1
74.648854904074,0
74.962006785302,1
74.962006785302,0
75.120372439733,1
75.120372439733,0
76.811720069717,1
76.811720069717,0
77.271653265986,1
77.271653265986,0
77.371653265986,1
77.371653265986,0
77.899665110102,1
77.899665110102,0
78.406142314378,1
78.406142314378,0
78.506142314378,1
78.506142314378,0
78.606142314378,1
78.606142314378,0
78.706142314378,1
78.706142314378,0
78.876515524172,1
78.876515524172,0
78.976515524172,1
78.976515524172,0
79.076515524172,1
79.076515524172,0
79.332651965949,1
79.332651965949,0
79.803634187596,1
79.803634187596,0
80.304130811477,1
80.304130811477,0
80.715810586809,1
80.715810586809,0
80.848311306343,1
80.848311306343,0
81.058781546776,1
81.058781546776,0
81.158781546776,1
81.158781546776,0
81.258781546776,1
81.258781546776,0
81.358781546776,1
81.358781546776,0
81.458781546776,1
81.458781546776,0
82.266024059013,1
82.266024059013,0
82.564883700584,1
82.564883700584,0
82.681701842186,1
82.681701842186,0
82.832776610148,1
82.832776610148,0
82.968990892184,1
82.968990892184,0
83.289074443137,1
83.289074443137,0
83.389074443137,1
83.389074443137,0
83.805245765234,1
83.805245765234,0
83.918973726432,1
83.918973726432,0
84.846463874408,1
84.846463874408,0
84.946463874408,1
84.946463874408,0
85.334800125279,1
85.334800125279,0
85.434800125279,1
85.434800125279,0
85.534800125279,1
85.534800125279,0
85.765276781048,1
85.765276781048,0
85.876839986178,1
85.876839986178,0
86.597992924204,1
86.597992924204,0
86.92531751521,1
86.92531751521,0
87.271890353215,1
87.271890353215,0
87.371890353215,1
87.371890353215,0
87.471890353215,1
87.471890353215,0
87.606650007682,1
87.606650007682,0
87.77476513689,1
87.77476513689,0
87.87476513689,1
87.87476513689,0
87.97476513689,1
87.97476513689,0
88.07476513689,1
88.07476513689,0
88.17476513689,1
88.17476513689,0
88.27476513689,1
88.27476513689,0
88.37476513689,1
88.37476513689,0
88.47476513689,1
88.47476513689,0
88.599275681597,1
88.599275681597,0
88.699275681597,1
88.699275681597,0
89.181659872994,1
89.181659872994,0
89.287574148333,1
89.287574148333,0
90.008710220435,1
90.008710220435,0
90.666764936072,1
90.666764936072,0
90.901049615503,1
90.901049615503,0
91.205748816339,1
91.205748816339,0
91.43273982317,1
91.43273982317,0
91.53273982317,1
91.53273982317,0
91.823536830898,1
91.823536830898,0
91.923536830898,1
91.923536830898,0
92.04182610867,1
92.04182610867,0
92.284696648194,1
92.284696648194,0
92.384696648194,1
92.384696648194,0
92.512848283813,1
92.512848283813,0
92.813091010448,1
92.813091010448,0
92.913091010448,1
92.913091010448,0
94.100791250032,1
94.100791250032,0
94.78112831401,1
94.78112831401,0
94.88112831401,1
94.88112831401,0
95.096827692138,1
95.096827692138,0
95.380976815952,1
95.380976815952,0
95.572746729595,1
95.572746729595,0
96.072039721467,1
96.072039721467,0
96.294884365695,1
96.294884365695,0
96.642303631639,1
96.642303631639,0
96.969749974479,1
96.969749974479,0
97.804233557942,1
97.804233557942,0
97.904233557942,1
97.904233557942,0
98.099700195268,1
98.099700195268,0
98.22666647594,1
98.22666647594,0
98.32666647594,1
98.32666647594,0
98.42666647594,1
98.42666647594,0
98.52666647594,1
98.52666647594,0
98.62666647594,1
98.62666647594,0
98.72666647594,1
98.72666647594,0
99.243627218081,1
99.243627218081,0
99.454371911935,1
99.454371911935,0
99.790708770243,1
99.790708770243,0
99.941128516874,1
99.941128516874,0
100.109689659283,1
100.109689659283,0
100.988309329417,1
100.988309329417,0
101.088309329417,1
101.088309329417,0
101.338096996117,1
101.338096996117,0
101.438096996117,1
101.438096996117,0
101.538096996117,1
101.538096996117,0
101.638096996117,1
101.638096996117,0
101.738096996117,1
101.738096996117,0
101.838096996117,1
101.838096996117,0
101.938096996117,1
101.938096996117,0
102.038096996117,1
102.038096996117,0
102.398563607336,1
102.398563607336,0
102.69652813325,1
102.69652813325,0
103.633201786706,1
103.633201786706,0
103.751805859289,1
103.751805859289,0
103.992165752182,1
103.992165752182,0
104.092165752182,1
104.092165752182,0
104.237151616234,1
104.237151616234,0
104.337151616234,1
104.337151616234,0
104.725488738782,1
104.725488738782,0
104.825488738782,1
104.825488738782,0
105.083376087626,1
105.083376087626,0
105.367760714011,1
105.367760714011,0
105.53056839699,1
105.53056839699,0
105.681713701574,1
105.681713701574,0
105.964302588052,1
105.964302588052,0
106.156582538326,1
106.156582538326,0
106.390097621477,1
106.390097621477,0
106.957557625423,1
106.957557625423,0
107.271108442946,1
107.271108442946,0
108.431021574539,1
108.431021574539,0
108.589504079388,1
108.589504079388,0
108.689504079388,1
108.689504079388,0
108.802835063333,1
108.802835063333,0
109.074811171737,1
109.074811171737,0
109.667040714446,1
109.667040714446,0
109.767040714446,1
109.767040714446,0
109.867040714446,1
109.867040714446,0
109.967040714446,1
