bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:45:04-5603),
0.795874504566,0
0.795874504566,1
0.795874504566,1
0.895874504566,0
1.69443489305,0
1.69443489305,1
1.69443489305,1
1.79443489305,0
2.950365651097,0
2.950365651097,1
2.950365651097,1
3.050365651097,0
4.809969863172,0
4.809969863172,1
4.809969863172,1
4.909969863172,0
5.733192994643,0
5.733192994643,1
5.733192994643,1
5.833192994643,0
7.684738330527,0
7.684738330527,1
7.684738330527,1
7.784738330527,0
8.471939470509,0
8.471939470509,1
8.471939470509,1
8.571939470509,0
10.350903524712,0
10.350903524712,1
10.350903524712,1
10.450903524712,0
10.901952011382,0
10.901952011382,1
10.901952011382,1
11.001952011382,0
11.878958437775,0
11.878958437775,1
11.878958437775,1
11.978958437775,0
12.917117738439,0
12.917117738439,1
12.917117738439,1
13.017117738439,0
13.402245902161,0
13.402245902161,1
13.402245902161,1
13.502245902161,0
13.977765099044,0
13.977765099044,1
13.977765099044,1
14.077765099044,0
14.330924238182,0
14.330924238182,1
14.330924238182,1
14.430924238182,0
16.554448660218,0
16.554448660218,1
16.554448660218,1
16.612833329311,0
16.612833329311,1
16.654448660218,1
16.754448660218,0
19.927745609239,0
19.927745609239,1
19.927745609239,1
20.027745609239,0
20.246101750081,0
20.246101750081,1
20.246101750081,1
20.346101750081,0
20.729703855029,0
20.729703855029,1
20.729703855029,1
20.829703855029,0
21.37915020328,0
21.37915020328,1
21.37915020328,1
21.47915020328,0
22.948046320903,0
22.948046320903,1
22.948046320903,1
23.048046320903,0
24.620257521228,0
24.620257521228,1
24.620257521228,1
24.720257521228,0
25.372931634541,0
25.372931634541,1
25.372931634541,1
25.472931634541,0
26.026814201762,0
26.026814201762,1
26.026814201762,1
26.126814201762,0
26.866247054662,0
26.866247054662,1
26.866247054662,1
26.966247054662,0
27.365119063678,0
27.365119063678,1
27.365119063678,1
27.465119063678,0
29.963373149527,0
29.963373149527,1
29.963373149527,1
30.063373149527,0
31.771742413802,0
31.771742413802,1
31.771742413802,1
31.845427769267,0
31.845427769267,1
31.871742413802,1
31.971742413802,0
32.25700576551,0
32.25700576551,1
32.25700576551,1
32.348166791634,0
32.348166791634,1
32.35700576551,1
32.45700576551,0
33.392779299942,0
33.392779299942,1
33.392779299942,1
33.413204888341,0
33.413204888341,1
33.492779299942,1
33.592779299942,0
33.872453025596,0
33.872453025596,1
33.872453025596,1
33.972453025596,0
35.659940689035,0
35.659940689035,1
35.659940689035,1
35.759940689035,0
38.810110617711,0
38.810110617711,1
38.810110617711,1
38.910110617711,0
40.315894876348,0
40.315894876348,1
40.315894876348,1
40.415894876348,0
40.467125730013,0
40.467125730013,1
40.467125730013,1
40.567125730013,0
42.507439987955,0
42.507439987955,1
42.507439987955,1
42.607439987955,0
44.548332203867,0
44.548332203867,1
44.548332203867,1
44.648332203867,0
48.393554073009,0
48.393554073009,1
48.393554073009,1
48.493554073009,0
49.035263245687,0
49.035263245687,1
49.035263245687,1
49.135263245687,0
50.640502802749,0
50.640502802749,1
50.640502802749,1
50.740502802749,0
52.254504877642,0
52.254504877642,1
52.254504877642,1
52.354504877642,0
52.873434337269,0
52.873434337269,1
52.873434337269,1
52.973434337269,0
53.608398758459,0
53.608398758459,1
53.608398758459,1
53.708398758459,0
55.124934732449,0
55.124934732449,1
55.124934732449,1
55.224934732449,0
56.260873674159,0
56.260873674159,1
56.260873674159,1
56.360873674159,0
56.386748083597,0
56.386748083597,1
56.386748083597,1
56.486748083597,0
57.661975785821,0
57.661975785821,1
57.661975785821,1
57.761975785821,0
58.68340766017,0
58.68340766017,1
58.68340766017,1
58.78340766017,0
59.555728855212,0
59.555728855212,1
59.555728855212,1
59.655728855212,0
59.710458535712,0
59.710458535712,1
59.710458535712,1
59.810458535712,0
60.481293194179,0
60.481293194179,1
60.481293194179,1
60.581293194179,0
63.375713672166,0
63.375713672166,1
63.375713672166,1
63.475713672166,0
64.79707835226,0
64.79707835226,1
64.79707835226,1
64.89707835226,0
65.534905644016,0
65.534905644016,1
65.534905644016,1
65.634905644016,0
65.646851804649,0
65.646851804649,1
65.646851804649,1
65.746851804649,0
66.182417524877,0
66.182417524877,1
66.182417524877,1
66.282417524877,0
66.824112226908,0
66.824112226908,1
66.824112226908,1
66.924112226908,0
67.131392579061,0
67.131392579061,1
67.131392579061,1
67.231392579061,0
67.337595861091,0
67.337595861091,1
67.337595861091,1
67.437595861091,0
68.825850686843,0
68.825850686843,1
68.825850686843,1
68.925850686843,0
70.161140871467,0
70.161140871467,1
70.161140871467,1
70.261140871467,0
70.77022329465,0
70.77022329465,1
70.77022329465,1
70.87022329465,0
71.014271785387,0
71.014271785387,1
71.014271785387,1
71.114271785387,0
71.854606490999,0
71.854606490999,1
71.854606490999,1
71.954606490999,0
71.999884518291,0
71.999884518291,1
71.999884518291,1
72.018853087492,0
72.018853087492,1
72.099884518291,1
72.199884518291,0
72.410623898169,0
72.410623898169,1
72.410623898169,1
72.510623898169,0
73.372004837235,0
73.372004837235,1
73.372004837235,1
73.472004837235,0
73.534141326681,0
73.534141326681,1
73.534141326681,1
73.634141326681,0
74.481138003856,0
74.481138003856,1
74.481138003856,1
74.581138003856,0
74.732579935931,0
74.732579935931,1
74.732579935931,1
74.832579935931,0
75.692127913299,0
75.692127913299,1
75.692127913299,1
75.792127913299,0
76.180684962607,0
76.180684962607,1
76.180684962607,1
76.280684962607,0
79.058599983885,0
79.058599983885,1
79.058599983885,1
79.158599983885,0
81.387513358099,0
81.387513358099,1
81.387513358099,1
81.487513358099,0
82.532652312799,0
82.532652312799,1
82.532652312799,1
82.632652312799,0
83.130398389617,0
83.130398389617,1
83.130398389617,1
83.230398389617,0
83.575916884668,0
83.575916884668,1
83.575916884668,1
83.675916884668,0
84.525411468165,0
84.525411468165,1
84.525411468165,1
84.625411468165,0
85.099943874906,0
85.099943874906,1
85.099943874906,1
85.199943874906,0
87.4262949366,0
87.4262949366,1
87.4262949366,1
87.5262949366,0
